,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q013,0.0039583699370588175,0.0012298851762663167,0.0029868639995039117,0.0036173093419597548,0.004289095362609424,0.0032039025600214973,0.00214971526607894,0.0009405004289095363,0.0010231817852971877,0.0012712258544601424,0.001725973314592226,0.0018293250100767902,0.0034209411205390824,0.0026561385739533056,0.0,0.0009715059375549056,0.000723461868391951,0.0006201101729073865,0.00014469237367839018,0.00010335169548456442,0.0002170385605175853,0.00020670339096912885,0.0010645224634910136
Q014,0.003276248746860692,0.0009405004289095363,0.0020670339096912887,0.002036028401045919,0.002966193660406999,0.0036379796810566676,0.0020877042487882015,0.0013952478890416197,0.0009921762766518184,0.0008991597507157105,0.0010025114462002748,0.0010438521243941008,0.002501111030726459,0.0025321165393718285,1.0335169548456443e-05,0.0010025114462002748,0.0009508355984579927,0.00045474746013208345,0.00010335169548456442,0.00017569788232375951,0.00028938474735678036,0.0002170385605175853,0.0008681542420703412
Q015,0.0,0.0,0.0,1.0335169548456443e-05,2.0670339096912886e-05,2.0670339096912886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0335169548456443e-05,1.0335169548456443e-05,1.0335169548456443e-05,1.0335169548456443e-05,0.0,0.0,0.0,0.0
Q016,0.0015502754322684663,0.00027904957780832394,0.0006924563597465816,0.000888824581167254,0.001725973314592226,0.0022117262833696786,0.0018603305187221597,0.0013435720412993376,0.00023770889961449818,0.00037206610374443193,0.00040307161238980127,0.0004134067819382577,0.0007544673770373203,0.0010851928025879265,0.0,0.0004340771210351706,0.0015606106018169227,0.0009508355984579927,0.00017569788232375951,0.00023770889961449818,3.1005508645369326e-05,0.000630445342455843,0.00028938474735678036
Q017,0.0031935673904730406,0.0005684343251651043,0.0008578190725218848,0.0007648025465857767,0.0019533470446582678,0.0031212212036338454,0.0026458034044048494,0.0015502754322684663,0.00040307161238980127,0.00031005508645369327,0.0005064233078743656,0.0002480440691629546,0.0006407805120042994,0.0010851928025879265,3.1005508645369326e-05,0.0016536271277530308,0.00214971526607894,0.0016536271277530308,0.0009921762766518184,0.00028938474735678036,7.234618683919509e-05,0.0003927364428413448,0.0003203902560021497
Q018,0.001725973314592226,0.0005580991556166479,0.0005477639860681914,0.0004134067819382577,0.0017363084841406824,0.002273737300660417,0.0023047428093057867,0.002521781369823372,0.000444412290583627,0.0003203902560021497,0.0002170385605175853,0.00014469237367839018,0.00045474746013208345,0.0006407805120042994,0.0,0.0007441322074888639,0.0014055830585900761,0.0011575389894271215,0.0008061432247796025,0.0005064233078743656,0.00011368686503302086,0.0005787694947135607,0.0002583792387114111
Q019,0.0007544673770373203,0.00029971991690523684,0.0002687144082598675,0.0002170385605175853,0.0004857529687774528,0.0005064233078743656,0.0009611707680064491,0.0006717860206496688,0.00013435720412993376,4.134067819382577e-05,0.00011368686503302086,1.0335169548456443e-05,0.00014469237367839018,6.201101729073865e-05,0.0,0.0003203902560021497,0.0010645224634910136,0.0008268135638765154,1.0335169548456443e-05,0.00010335169548456442,4.134067819382577e-05,0.00020670339096912885,3.1005508645369326e-05
Q020,0.0020463635705943754,0.0009611707680064491,0.0004857529687774528,0.0003617309341959755,0.0006717860206496688,0.0009301652593610799,0.0013745775499447068,0.001353907210847794,0.00040307161238980127,0.00028938474735678036,0.0001963682214206724,6.201101729073865e-05,0.0001653627127753031,0.0001963682214206724,0.0,0.0002170385605175853,0.00022737373006604173,0.000630445342455843,5.167584774228221e-05,0.00037206610374443193,0.00022737373006604173,0.0002583792387114111,0.00013435720412993376
Q021,0.00214971526607894,0.0012712258544601424,0.0013952478890416197,0.0003927364428413448,0.0011782093285240345,0.0006097750033589301,0.0007648025465857767,0.0007854728856826896,0.0009301652593610799,0.0011575389894271215,0.0003927364428413448,0.00027904957780832394,0.0002170385605175853,0.00027904957780832394,0.0,6.201101729073865e-05,9.301652593610798e-05,0.0001963682214206724,2.0670339096912886e-05,0.00035139576464751903,0.000723461868391951,9.301652593610798e-05,0.0004340771210351706
Q022,0.0011575389894271215,0.00040307161238980127,0.00027904957780832394,0.0001963682214206724,0.0005270936469712786,0.0005994398338104737,0.0010231817852971877,0.0011575389894271215,0.00020670339096912885,7.234618683919509e-05,9.301652593610798e-05,0.00011368686503302086,0.00028938474735678036,0.00017569788232375951,0.0,0.00031005508645369327,0.0003617309341959755,0.0005684343251651043,0.0002480440691629546,0.0001963682214206724,3.1005508645369326e-05,0.00022737373006604173,9.301652593610798e-05
Q023,0.003389935611893713,0.0019223415360128983,0.0022530669615635044,0.0010128466157487313,0.001705302975495313,0.0009508355984579927,0.0008578190725218848,0.0006097750033589301,0.0033279245946029744,0.004630155957708486,0.0013849127194931633,0.0017363084841406824,0.0006511156815527559,0.0007751377161342331,0.0,0.0002583792387114111,0.00022737373006604173,0.0002583792387114111,7.234618683919509e-05,0.0001240220345814773,0.0003307254255506062,6.201101729073865e-05,0.004175408497576403
